testMse:0.05892474,testPSNR:29.085018,mse:0.20891784,ema:0.21012829,time:118.72163356499934,frame:78000
testMse:0.058889654,testPSNR:29.087605,mse:0.21089418,ema:0.21008709,time:119.48319146199941,frame:78500
testMse:0.05888883,testPSNR:29.087667,mse:0.20897965,ema:0.21094674,time:120.24962719299943,frame:79000
testMse:0.058862872,testPSNR:29.089582,mse:0.21238373,ema:0.21095473,time:121.01056166699952,frame:79500
testMse:0.05882267,testPSNR:29.092548,mse:0.2101259,ema:0.2105987,time:121.77129701199964,frame:80000
testMse:0.058926985,testPSNR:29.084854,mse:0.21206708,ema:0.21127576,time:122.53244153899972,frame:80500
testMse:0.058896393,testPSNR:29.087109,mse:0.20981717,ema:0.2099308,time:123.29246540599972,frame:81000
testMse:0.058862325,testPSNR:29.089622,mse:0.20865476,ema:0.20991004,time:124.05269999999963,frame:81500
testMse:0.058841404,testPSNR:29.091166,mse:0.20939603,ema:0.2103557,time:124.81274013499959,frame:82000
testMse:0.058740523,testPSNR:29.098618,mse:0.2132175,ema:0.210408,time:125.57339107799956,frame:82500
testMse:0.05876275,testPSNR:29.096975,mse:0.21079487,ema:0.2101632,time:126.33437619199954,frame:83000
testMse:0.05870361,testPSNR:29.101349,mse:0.21103667,ema:0.21050091,time:127.09433539199942,frame:83500
testMse:0.058772247,testPSNR:29.096275,mse:0.21049935,ema:0.21063855,time:127.86006621099953,frame:84000
testMse:0.058711298,testPSNR:29.100779,mse:0.21026574,ema:0.21076852,time:128.62261230999965,frame:84500
testMse:0.0587209,testPSNR:29.100067,mse:0.21065907,ema:0.20950383,time:129.3841070629995,frame:85000
testMse:0.058724593,testPSNR:29.099796,mse:0.20802243,ema:0.2105145,time:130.14438889699932,frame:85500
testMse:0.05879758,testPSNR:29.0944,mse:0.20973413,ema:0.21092957,time:130.90630461999902,frame:86000
testMse:0.05873846,testPSNR:29.09877,mse:0.20917657,ema:0.21009526,time:131.66747241699892,frame:86500
testMse:0.058752365,testPSNR:29.097744,mse:0.21026847,ema:0.20958132,time:132.42848769499878,frame:87000
testMse:0.058688004,testPSNR:29.1025,mse:0.21192004,ema:0.21106076,time:133.18874677399884,frame:87500
testMse:0.058658555,testPSNR:29.104681,mse:0.20939605,ema:0.21031787,time:133.95330289499853,frame:88000
testMse:0.058714267,testPSNR:29.10056,mse:0.20809163,ema:0.21020396,time:134.71593774499868,frame:88500
testMse:0.0587168,testPSNR:29.10037,mse:0.21102563,ema:0.21065304,time:135.4761656099986,frame:89000
testMse:0.058685746,testPSNR:29.102669,mse:0.20910387,ema:0.2101112,time:136.23638733999843,frame:89500
testMse:0.05866474,testPSNR:29.104223,mse:0.21058367,ema:0.21040118,time:136.9985648129989,frame:90000
testMse:0.058625564,testPSNR:29.107124,mse:0.20961802,ema:0.2109181,time:137.7624119859988,frame:90500
testMse:0.058670424,testPSNR:29.103804,mse:0.21004878,ema:0.21068886,time:138.52338264599894,frame:91000
testMse:0.05868071,testPSNR:29.103043,mse:0.20989117,ema:0.20941761,time:139.28539307199893,frame:91500
testMse:0.058694102,testPSNR:29.10205,mse:0.21097243,ema:0.21076936,time:140.0518368329991,frame:92000
testMse:0.05865249,testPSNR:29.105131,mse:0.21310654,ema:0.21150349,time:140.8151754499988,frame:92500
testMse:0.0585975,testPSNR:29.109207,mse:0.21256886,ema:0.21227835,time:141.57711815799897,frame:93000
testMse:0.05861418,testPSNR:29.10797,mse:0.20784798,ema:0.2097648,time:142.33742177399893,frame:93500
testMse:0.058686487,testPSNR:29.102613,mse:0.21123289,ema:0.21047056,time:143.0989431649988,frame:94000
testMse:0.05867365,testPSNR:29.103565,mse:0.21298954,ema:0.21072365,time:143.8622118089988,frame:94500
testMse:0.058559507,testPSNR:29.112022,mse:0.2118135,ema:0.21127605,time:144.62487160799898,frame:95000
testMse:0.05854547,testPSNR:29.113064,mse:0.21027768,ema:0.21040587,time:145.3880450109992,frame:95500
testMse:0.05860097,testPSNR:29.108948,mse:0.20888706,ema:0.20986125,time:146.1501119989995,frame:96000
testMse:0.05861295,testPSNR:29.108059,mse:0.21174677,ema:0.21140313,time:146.91224179899973,frame:96500
testMse:0.058624525,testPSNR:29.107204,mse:0.21112692,ema:0.21089375,time:147.67420701699984,frame:97000
testMse:0.05859362,testPSNR:29.109493,mse:0.21209425,ema:0.2105795,time:148.43623609699995,frame:97500
testMse:0.058558624,testPSNR:29.112087,mse:0.21070102,ema:0.21006948,time:149.19855988,frame:98000
testMse:0.05857578,testPSNR:29.110815,mse:0.20991297,ema:0.21060857,time:149.96029355899978,frame:98500
testMse:0.058565803,testPSNR:29.111555,mse:0.20961176,ema:0.21072719,time:150.72045244099976,frame:99000
testMse:0.0585671,testPSNR:29.111458,mse:0.20921363,ema:0.21039388,time:151.48100450199996,frame:99500
testMse:0.058567196,testPSNR:29.111452,mse:0.20971091,ema:0.21074429,time:152.24131045100003,frame:100000
