gt_L_r,gt_L_g,gt_L_b,gt_T_r,gt_T_g,gt_T_b,pred_L_r,pred_L_g,pred_L_b,pred_T_r,pred_T_g,pred_T_b
0,0,0,0,0,0,0,0,0,1,0.953188,0.721743
0,0,0,1,0.98281,0.369191,0,0,0,1,0.946892,0.693161
0,0,0,0.979048,0.944841,1,0,0,0,1,0.967225,0.74055
0,0,0,0,0,0,0,0,0,0.996996,0.945399,0.731826
0,0,0,0,0,0,0,0,0,0.905322,0.878523,0.710327
0,0,0,1,0.952489,0.26312,0,0,0,0.906818,0.869493,0.666822
0,0,0,1,0.934628,0.787727,0,0,0,1,0.977629,0.749454
0,0,0,0,0,0,0,0,0,0.934155,0.891244,0.703346
0,0,0,0,0,0,0,0,0,0.999695,0.912592,0.670285
0,0,0,1,0.935776,0.700413,0,0,0,0.999965,0.918918,0.688678
0,0,0,1,0.957107,1,0,0,0,0.999993,0.944893,0.723114
0,0,0,0.963038,0.933466,1,0,0,0,1,0.980205,0.731826
0,0,0,1,0.96428,1,0,0,0,0.922761,0.872347,0.699049
0,0,0,1,0.94398,1,0,0,0,0.999124,0.909425,0.670177
1.19209e-07,0,0,1,0.944872,1,0,0,0,0.852445,0.813905,0.648021
0,0,0,0.999839,0.936913,1,0,0,0,0.999981,0.954393,0.706494
0,0,0,1,0.950748,1,0,0,0,0.999987,0.925365,0.677474
0,0,0,1,0.950237,0.28599,0,0,0,1,0.967101,0.742608
0,0,0,1,0.937735,1,0,0,0,0.973494,0.943034,0.73412
0,0,0,1,0.93447,1,0,0,0,0.997042,0.974629,0.810329
0.000347673,2.3484e-05,0,0,0,0,0,0,0,0.999999,0.934035,0.679604
0,0,0,1,0.9768,0.203538,0,0,0,0.976847,0.950595,0.748536
0,0,0,1,0.980125,0.198539,0,0,0,0.981382,0.950227,0.798344
0,0,0,1,0.938424,0.658347,0,0,0,0.999711,0.954393,0.733738
0,0,0,1,0.912132,1,0,0,0,1,0.981701,0.764012
0,0,0,1,0.946543,1,0,0,0,0.861655,0.83128,0.656218
0,0,0,1,0.955242,1,0,0,0,1,0.975296,0.76207
0,0,0,1,0.946846,0.499344,0,0,0,0.999883,0.932944,0.696371
0,0,0,1,0.963369,0.242401,0,0,0,0.999999,0.927495,0.681303
0,0,0,1,0.936175,0.498543,0,0,0,0.999998,0.934873,0.680242
0,0,0,1,0.949151,1,0,0,0,0.999983,0.947381,0.731059
0,0,0,1,0.933996,0.834186,0,0,0,0.981382,0.967533,0.77081
0,0,0,1,0.934036,1,0,0,0,0.999997,0.932453,0.71113
0,0,0,0,0,0,0,0,0,0.884039,0.810779,0.636014
0,0,0,1,0.938558,0.428091,0,0,0,0.937096,0.90053,0.722233
0,0,0,1,0.958508,0.216255,0,0,0,0.937783,0.898944,0.713332
0,0,0,1,0.943792,1,0,0,0,0.876845,0.851336,0.656548
0,0,0,0.991247,0.914148,1,0,0,0,0.99998,0.923592,0.675122
0,0,0,0,0,0,0,0,0,0.895523,0.862699,0.66061
0,0,0,0.964894,0.962711,0.929194,0,0,0,1,0.966347,0.742795
0,0,0,1,0.978414,0.185037,0,0,0,0.999997,0.944485,0.706697
0,0,0,1,0.933261,0.884867,0,0,0,0.999998,0.964855,0.743168
0,0,0,1,0.955493,1,0,0,0,1,0.947769,0.708313
0,0,0,1,0.934745,0.791386,0,0,0,0.999849,0.947672,0.705278
0,0,0,1,0.919521,1,0,0,0,0.893309,0.864425,0.687105
0,0,0,0,0,0,0,0,0,0.999775,0.948442,0.714528
0,0,0,0.98832,0.997086,0.440834,0,0,0,0.999999,0.966347,0.742422
0,0,0,1,0.94088,0.577069,0,0,0,0.999951,0.954984,0.71123
0,0,0,1,0.980401,0.408804,0,0,0,0.999992,0.960435,0.716318
0,0,0,1,0.961509,0.707457,0,0,0,0.99607,0.899475,0.672224
0,0,0,1,0.947624,0.365661,0,0,0,0.998147,0.957118,0.730097
